,0,1,2,3
0,10024.175300120096,0.0024146124875192897,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.012,0.997,1.008,1.003,1.006,1.008"
1,10024.065784331406,-1.0925226630075459e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
2,10024.067045183707,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
3,9995.059348312912,-0.00289800030252558,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.997,1.012,0.990,0.992,0.991,1.002"
4,9800.920495914292,-0.019614596314853083,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.979,1.003,1.005,0.957,1.001,0.992"
5,9822.458462226969,0.002195134182264456,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.002,1.014,0.985,1.003,1.010,1.001"
6,9774.603156910911,-0.004883936313493754,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.011,1.007,1.006,1.006,0.996,0.976"
7,9777.327673581469,0.00027869540986137365,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.996,0.995,0.986,1.004,1.005,0.999"
8,9777.322281218512,-5.51517206222616e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
9,9777.323511034792,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
10,9760.105805351408,-0.001762535885539774,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.003,0.999,1.002,1.008,0.996,0.987"
11,9875.903399827936,0.011794549051227036,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.011,1.011,1.008,1.022,1.004,1.005"
12,9907.980108836493,0.0032427139092522416,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,0.988,0.989,1.010,0.997,1.002"
13,9984.03606176143,0.0076469195368655185,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.025,1.014,1.014,1.005,0.998,1.009"
14,9972.185420077732,-0.0011876640162037635,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.997,0.995,1.014,0.989,0.996,1.009"
15,9972.159410929926,-2.6081726952622232e-06,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
16,9972.160665253312,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
17,9929.094280184903,-0.0043280137269756285,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.002,0.991,0.980,1.000,1.002,0.990"
18,9868.098610538014,-0.006162071864396079,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.999,0.992,0.987,0.992,0.998,0.995"
19,9777.3307247757,-0.009240676811088753,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.007,1.002,1.027,0.977,0.978,0.997"
20,9748.538092048684,-0.0029491802762966904,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.993,1.002,1.001,0.991,1.005,1.001"
21,9823.765534482307,0.007687170025294348,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.023,1.006,1.018,0.998,0.994,1.019"
22,9823.590891964197,-1.777771159881542e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
23,9823.592127600261,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
24,9667.75784126567,-0.0159904375080799,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.004,1.015,1.001,0.942,1.002,1.014"
25,9832.244569820461,0.01687083175557654,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.006,1.002,1.005,1.043,1.014,0.998"
26,9828.060858829258,-0.00042559980256041486,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.995,1.009,1.007,0.992,1.014,1.003"
27,9828.05322488737,-7.767498556801721e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
28,9807.23993718918,-0.002119988260075593,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.998,1.002,0.999,1.004,1.002,0.990"
29,9807.192555204716,-4.83133880969752e-06,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
30,9807.193788778155,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
31,9792.563924037719,-0.001492862072261684,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.996,0.998,1.003,0.998,1.002,0.997"
32,9926.338249140921,0.013568339275812528,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.996,0.998,1.011,1.036,1.000,1.000"
33,9958.253996223775,0.0032101009762740473,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.009,1.001,1.003,1.007,1.000,1.000"
34,10030.715764446906,0.007250207139860039,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.006,0.998,0.996,1.010,0.989,1.013"
35,10112.397576682339,0.008110192160619723,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.012,1.005,1.005,1.007,1.001,1.013"
36,10112.207655732183,-1.878117747939721e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
37,10112.208927671192,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
38,10008.661647782388,-0.010292615682903896,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.003,0.996,0.998,0.979,1.009,0.992"
39,10065.220583266502,0.005635091857034974,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.003,0.978,0.979,1.005,1.015,1.014"
40,9885.279826215778,-0.018039210337685713,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.982,0.988,0.983,1.007,1.038,0.939"
41,10087.276457107066,0.02022810857721303,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.998,0.996,0.994,1.001,1.012,1.059"
42,10087.796248741155,5.152810518047287e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.004,1.002,1.000,0.997,0.984,1.006"
43,10087.79520203263,-1.0375988507130443e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
44,10087.79647090098,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
45,10095.43001267371,0.0007564243648479273,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.004,1.003,1.002,1.007,1.013,0.990"
46,10082.357815595733,-0.0012957018894322306,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.007,1.004,0.989,0.998,1.002,0.998"
47,10166.435263371317,0.00830448813851728,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.009,1.001,0.985,1.018,0.996,1.007"
48,10198.896275551773,0.0031878724496985,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.003,0.978,1.014,1.020,0.993"
49,10198.545014036565,-3.444172337663844e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.011,0.998,0.955,0.996,1.022,1.006"
50,10198.545657514993,6.309511869320123e-08,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
51,10198.546940313812,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
52,10287.326458682002,0.008667443406682438,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.001,1.008,0.986,1.008,0.995,1.019"
53,10299.548856407779,0.0011873972105770937,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.996,1.001,1.009,0.993,1.000,1.010"
54,10441.295955394362,0.013668614481443974,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.983,1.003,0.985,1.038,0.997,1.004"
55,10304.3418655701,-0.013203361649980766,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.987,1.002,1.036,0.987,1.000,0.973"
56,10238.81983537904,-0.006378984240778271,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.992,0.974,0.980,0.998,1.003,0.991"
57,10238.668821362275,-1.4749271192355031e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
58,10238.670109207887,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
59,9963.240352547175,-0.027269383742424595,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,0.971,0.943,0.951,0.985,0.980,0.962"
60,10068.52705691856,0.01051207032952077,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.022,0.990,0.989,1.019,1.008,1.009"
61,10092.834586979414,0.0024112996203258796,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.001,0.996,1.004,1.011,1.015,0.992"
62,10318.8938509261,0.022150844083915426,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.018,1.027,1.017,1.034,1.013,1.017"
63,10235.918731534848,-0.008073590529797224,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.002,0.998,0.987,1.006,0.990"
64,10235.727441431638,-1.8688297130520656e-05,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
65,10235.728728907277,1.2578251670752434e-07,"0.07,0.05,0.05,0.05,0.38,0.06,0.34","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
