,0,1,2,3
0,10090.712422623828,0.009030345680101366,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.012,0.997,1.008,1.003,1.006,1.008"
1,10040.548435708497,-0.0049837008318912145,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
2,10040.549437253203,9.97499950626707e-08,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
3,10015.44907022515,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.997,1.012,0.990,0.992,0.991,1.002"
4,10015.450071770058,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.979,1.003,1.005,0.957,1.001,0.992"
5,10003.297127953561,-0.0012141564292923361,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.002,1.014,0.985,1.003,1.010,1.001"
6,10024.554593850406,0.00212279121842199,"0.00,0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.011,1.007,1.006,1.006,0.996,0.976"
7,9970.60192956323,-0.005396586434640571,"0.00,0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.996,0.995,0.986,1.004,1.005,0.999"
8,9920.615480756622,-0.0050259924266479565,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
9,9871.01339789454,-0.00501244106978055,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
10,9846.336853968896,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.003,0.999,1.002,1.008,0.996,0.987"
11,9846.337838602582,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.011,1.011,1.008,1.022,1.004,1.005"
12,9922.508424598493,0.007706161698071252,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,0.988,0.989,1.010,0.997,1.002"
13,10016.9526907242,0.009473172005190374,"0.00,0.00,1.00,0.00,0.00,0.00,0.00","1.000,1.025,1.014,1.014,1.005,0.998,1.009"
14,9857.713703769306,-0.01602466087811324,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.997,0.995,1.014,0.989,0.996,1.009"
15,9808.153715231016,-0.005040214336833187,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
16,9759.11392992227,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
17,9734.717123448636,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.002,0.991,0.980,1.000,1.002,0.990"
18,9734.71809692035,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.999,0.992,0.987,0.992,0.998,0.995"
19,9488.991838343389,-0.025566307844642266,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.007,1.002,1.027,0.977,0.978,0.997"
20,9378.408043492118,-0.01172234243701622,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,0.993,1.002,1.001,0.991,1.005,1.001"
21,9501.63011078621,0.013053344059023966,"0.00,0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.023,1.006,1.018,0.998,0.994,1.019"
22,9454.54648748042,-0.0049676388998521025,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
23,9407.274702861303,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
24,9383.757459183438,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.004,1.015,1.001,0.942,1.002,1.014"
25,9383.758397559184,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.006,1.002,1.005,1.043,1.014,0.998"
26,9446.243537625152,0.006636788422814961,"0.00,0.00,1.00,0.00,0.00,0.00,0.00","1.000,0.995,1.009,1.007,0.992,1.014,1.003"
27,9399.227593623242,-0.0049896382232908374,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
28,9416.936880313617,0.0018823487585815138,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.998,1.002,0.999,1.004,1.002,0.990"
29,9393.43975302911,-0.0024983167497527672,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
30,9369.957092990513,-0.0025030299674969883,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
31,9346.533139596235,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.996,0.998,1.003,0.998,1.002,0.997"
32,9346.53407424955,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.996,0.998,1.011,1.036,1.000,1.000"
33,9349.185470027005,0.00028363666762873694,"0.00,0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.009,1.001,1.003,1.007,1.000,1.000"
34,9391.817772300634,0.004549636458646556,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.006,0.998,0.996,1.010,0.989,1.013"
35,9459.665555507789,0.0071981684390998255,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.012,1.005,1.005,1.007,1.001,1.013"
36,9412.653227079954,-0.004982156799484096,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
37,9365.59090456304,-0.00501244106978055,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
38,9342.177866202119,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.003,0.996,0.998,0.979,1.009,0.992"
39,9342.178800419906,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.003,0.978,0.979,1.005,1.015,1.014"
40,9670.079983111422,0.0344970793815187,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,0.982,0.988,0.983,1.007,1.038,0.939"
41,10192.644528670386,0.052629754820814834,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.998,0.996,0.994,1.001,1.012,1.059"
42,9982.782126488415,-0.02080451385122312,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.004,1.002,1.000,0.997,0.984,1.006"
43,9932.47039928485,-0.005052593149009465,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
44,9932.471390048773,9.97499950626707e-08,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
45,9907.641207303906,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.004,1.003,1.002,1.007,1.013,0.990"
46,9907.642198068028,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.007,1.004,0.989,0.998,1.002,0.998"
47,9847.223117220923,-0.006116900143001664,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.009,1.001,0.985,1.018,0.996,1.007"
48,9796.324809824444,-0.0051822024710175005,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.000,1.003,0.978,1.014,1.020,0.993"
49,9907.020450129325,0.011236346265354804,"0.00,1.00,0.00,0.00,0.00,0.00,0.00","1.000,1.011,0.998,0.955,0.996,1.022,1.006"
50,9857.763087355966,-0.004984366730725289,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
51,9808.475260159936,-0.00501244106978055,"0.00,0.00,0.00,0.00,0.00,1.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
52,9783.95505530918,-0.0025030297168705377,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,1.001,1.008,0.986,1.008,0.995,1.019"
53,9783.956033704686,9.999999505838704e-08,"1.00,0.00,0.00,0.00,0.00,0.00,0.00","1.000,0.996,1.001,1.009,0.993,1.000,1.010"
54,9794.965680921583,0.0011246429745014935,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.983,1.003,0.985,1.038,0.997,1.004"
55,9525.986010402,-0.027845113848397753,"0.00,0.00,0.00,0.00,0.00,0.00,1.00","1.000,0.987,1.002,1.036,0.987,1.000,0.973"
56,9457.688472008742,-0.007195428169301573,"0.00,0.00,0.00,0.00,1.00,0.00,0.00","1.000,0.992,0.974,0.980,0.998,1.003,0.991"
57,9410.351240954235,-0.005017726387514379,"0.00,0.00,0.00,1.00,0.00,0.00,0.00","1.000,1.000,1.000,1.000,1.000,1.000,1.000"
